FMEA_ID,Asset_ID,Department,Failure_Mode,Potential_Effects,Prevention_Controls,Severity,Occurrence,Detection,RPN,All_Repair_Steps,Graph_Context_Snippet
FMEA-PAS-001,AST-PASTEUR-01,PRODUCTION,Pasteurization temperature below set point,Microbial survival and unsafe product,Continuous temperature recording with automatic flow diversion,10,2,2,40,Langkah 1: Divert product to the reprocess or hold tank automatically. | Langkah 2: Verify the temperature sensor against a calibrated reference. | Langkah 3: Inspect the heat exchanger and steam supply. | Langkah 4: Reprocess the diverted product and restart after QA approval.,Mesin/Asset ID: AST-PASTEUR-01 (FMEA Kode: FMEA-PAS-001). Mode Kegagalan (Failure Mode): Pasteurization temperature below set point. Dampak Potensial: Microbial survival and unsafe product. Tindakan Pencegahan (Prevention): Continuous temperature recording with automatic flow diversion. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Divert product to the reprocess or hold tank automatically. | Langkah 2: Verify the temperature sensor against a calibrated reference. | Langkah 3: Inspect the heat exchanger and steam supply. | Langkah 4: Reprocess the diverted product and restart after QA approval.
FMEA-BLR-001,AST-BOILER-01,UTILITIES,Low boiler water level,Boiler shutdown or tube damage,Level probe test every shift and blowdown schedule,9,2,3,54,Langkah 1: Shut down the burner following the emergency SOP. | Langkah 2: Check feedwater pump operation and supply valves. | Langkah 3: Test and clean the level probes. | Langkah 4: Restart only after the level is confirmed and approved by the operator.,Mesin/Asset ID: AST-BOILER-01 (FMEA Kode: FMEA-BLR-001). Mode Kegagalan (Failure Mode): Low boiler water level. Dampak Potensial: Boiler shutdown or tube damage. Tindakan Pencegahan (Prevention): Level probe test every shift and blowdown schedule. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Shut down the burner following the emergency SOP. | Langkah 2: Check feedwater pump operation and supply valves. | Langkah 3: Test and clean the level probes. | Langkah 4: Restart only after the level is confirmed and approved by the operator.
FMEA-CDG-002,AST-INKJET-01,PACKAGING,Wrong expiry date printed,Non-compliant labeling and product withdrawal risk,Two-person verification of code data at start-up,9,2,3,54,Langkah 1: Stop the line and isolate affected product. | Langkah 2: Correct the date data in the printer controller. | Langkah 3: Have a second operator verify the code on a printed sample. | Langkah 4: Rework or relabel isolated product under QA supervision.,Mesin/Asset ID: AST-INKJET-01 (FMEA Kode: FMEA-CDG-002). Mode Kegagalan (Failure Mode): Wrong expiry date printed. Dampak Potensial: Non-compliant labeling and product withdrawal risk. Tindakan Pencegahan (Prevention): Two-person verification of code data at start-up. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line and isolate affected product. | Langkah 2: Correct the date data in the printer controller. | Langkah 3: Have a second operator verify the code on a printed sample. | Langkah 4: Rework or relabel isolated product under QA supervision.
FMEA-MTD-001,AST-METALDET-01,QUALITY,Metal detector sensitivity loss,Undetected metal contamination,Test piece verification at start and every 2 hours,10,2,3,60,"Langkah 1: Stop the line and quarantine product since the last passed test. | Langkah 2: Clean the aperture and check for nearby interference. | Langkah 3: Recalibrate sensitivity with Fe, non-Fe, and SS test pieces. | Langkah 4: Reprocess held product through the detector before release.","Mesin/Asset ID: AST-METALDET-01 (FMEA Kode: FMEA-MTD-001). Mode Kegagalan (Failure Mode): Metal detector sensitivity loss. Dampak Potensial: Undetected metal contamination. Tindakan Pencegahan (Prevention): Test piece verification at start and every 2 hours. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line and quarantine product since the last passed test. | Langkah 2: Clean the aperture and check for nearby interference. | Langkah 3: Recalibrate sensitivity with Fe, non-Fe, and SS test pieces. | Langkah 4: Reprocess held product through the detector before release."
FMEA-LBL-002,AST-LABELER-01,PACKAGING,Wrong label applied (changeover error),Mislabeled product and possible recall,Line clearance checklist and barcode verification at changeover,10,2,3,60,Langkah 1: Stop the line immediately and hold all product from the affected batch. | Langkah 2: Remove all remaining labels and clear the line completely. | Langkah 3: Reload the correct label roll and verify against the batch record. | Langkah 4: Have QA sign off line clearance before restart.,Mesin/Asset ID: AST-LABELER-01 (FMEA Kode: FMEA-LBL-002). Mode Kegagalan (Failure Mode): Wrong label applied (changeover error). Dampak Potensial: Mislabeled product and possible recall. Tindakan Pencegahan (Prevention): Line clearance checklist and barcode verification at changeover. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line immediately and hold all product from the affected batch. | Langkah 2: Remove all remaining labels and clear the line completely. | Langkah 3: Reload the correct label roll and verify against the batch record. | Langkah 4: Have QA sign off line clearance before restart.
FMEA-CMP-002,AST-COMPRESSOR-01,UTILITIES,Oil carryover into air line,Contamination of product-contact air,Air quality test every quarter and coalescing filter replacement,9,2,4,72,Langkah 1: Stop use of the affected air line for product contact. | Langkah 2: Replace coalescing filters and check the oil separator. | Langkah 3: Test air quality for oil content. | Langkah 4: Clean the affected downstream equipment before restart.,Mesin/Asset ID: AST-COMPRESSOR-01 (FMEA Kode: FMEA-CMP-002). Mode Kegagalan (Failure Mode): Oil carryover into air line. Dampak Potensial: Contamination of product-contact air. Tindakan Pencegahan (Prevention): Air quality test every quarter and coalescing filter replacement. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop use of the affected air line for product contact. | Langkah 2: Replace coalescing filters and check the oil separator. | Langkah 3: Test air quality for oil content. | Langkah 4: Clean the affected downstream equipment before restart.
FMEA-CHK-002,AST-CHECKWEIGH-01,QUALITY,Reject gate fails to actuate,Underweight or defective products reach customers,Reject gate function test at start of each shift,9,3,2,54,Langkah 1: Stop the line and hold product produced since the last test. | Langkah 2: Inspect the pneumatic actuator and air supply. | Langkah 3: Replace the faulty solenoid valve or cylinder. | Langkah 4: Run a reject test with a test pack before restart.,Mesin/Asset ID: AST-CHECKWEIGH-01 (FMEA Kode: FMEA-CHK-002). Mode Kegagalan (Failure Mode): Reject gate fails to actuate. Dampak Potensial: Underweight or defective products reach customers. Tindakan Pencegahan (Prevention): Reject gate function test at start of each shift. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the line and hold product produced since the last test. | Langkah 2: Inspect the pneumatic actuator and air supply. | Langkah 3: Replace the faulty solenoid valve or cylinder. | Langkah 4: Run a reject test with a test pack before restart.
FMEA-PLT-002,AST-PALLETIZER-01,WAREHOUSE,Palletizer gripper malfunction,Dropped cases and product damage,Pneumatic pressure check and gripper inspection weekly,6,3,3,54,"Langkah 1: Stop the palletizer and secure the robot arm area. | Langkah 2: Inspect gripper pads and pneumatic fittings. | Langkah 3: Replace damaged pads or seals. | Langkah 4: Test the gripper with empty cases, then with a full layer.","Mesin/Asset ID: AST-PALLETIZER-01 (FMEA Kode: FMEA-PLT-002). Mode Kegagalan (Failure Mode): Palletizer gripper malfunction. Dampak Potensial: Dropped cases and product damage. Tindakan Pencegahan (Prevention): Pneumatic pressure check and gripper inspection weekly. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the palletizer and secure the robot arm area. | Langkah 2: Inspect gripper pads and pneumatic fittings. | Langkah 3: Replace damaged pads or seals. | Langkah 4: Test the gripper with empty cases, then with a full layer."
FMEA-CIP-002,AST-CIP-01,PRODUCTION,CIP supply pump failure,Incomplete cleaning and delayed start-up,Vibration monitoring and spare pump on site,6,3,3,54,"Langkah 1: Switch to the standby pump and note the failure. | Langkah 2: Isolate and lock out the failed pump. | Langkah 3: Inspect the impeller, seal, and motor bearings. | Langkah 4: Repair or replace the pump and return it to standby.","Mesin/Asset ID: AST-CIP-01 (FMEA Kode: FMEA-CIP-002). Mode Kegagalan (Failure Mode): CIP supply pump failure. Dampak Potensial: Incomplete cleaning and delayed start-up. Tindakan Pencegahan (Prevention): Vibration monitoring and spare pump on site. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Switch to the standby pump and note the failure. | Langkah 2: Isolate and lock out the failed pump. | Langkah 3: Inspect the impeller, seal, and motor bearings. | Langkah 4: Repair or replace the pump and return it to standby."
FMEA-WHS-001,AST-COLDSTORE-01,WAREHOUSE,Cold storage temperature excursion,Spoilage of temperature-sensitive materials,Continuous temperature logging with alarm notification,9,3,2,54,"Langkah 1: Move critical materials to a backup cold room. | Langkah 2: Check the compressor, evaporator, and door seals. | Langkah 3: Assess affected materials with QA for disposition. | Langkah 4: Restore the temperature and document the excursion.","Mesin/Asset ID: AST-COLDSTORE-01 (FMEA Kode: FMEA-WHS-001). Mode Kegagalan (Failure Mode): Cold storage temperature excursion. Dampak Potensial: Spoilage of temperature-sensitive materials. Tindakan Pencegahan (Prevention): Continuous temperature logging with alarm notification. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Move critical materials to a backup cold room. | Langkah 2: Check the compressor, evaporator, and door seals. | Langkah 3: Assess affected materials with QA for disposition. | Langkah 4: Restore the temperature and document the excursion."
FMEA-CNV-002,AST-CONVEYOR-01,PACKAGING,Conveyor motor overheating,Motor burnout and unplanned downtime,Thermal imaging scan monthly and cooling fan cleaning,6,3,4,72,Langkah 1: Stop the conveyor and let the motor cool. | Langkah 2: Clean the cooling fins and check the fan. | Langkah 3: Measure motor current against nameplate values. | Langkah 4: Replace the motor if the insulation test fails.,Mesin/Asset ID: AST-CONVEYOR-01 (FMEA Kode: FMEA-CNV-002). Mode Kegagalan (Failure Mode): Conveyor motor overheating. Dampak Potensial: Motor burnout and unplanned downtime. Tindakan Pencegahan (Prevention): Thermal imaging scan monthly and cooling fan cleaning. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the conveyor and let the motor cool. | Langkah 2: Clean the cooling fins and check the fan. | Langkah 3: Measure motor current against nameplate values. | Langkah 4: Replace the motor if the insulation test fails.
FMEA-PWR-001,AST-GENSET-01,UTILITIES,Generator fails to start on outage,Production loss and half-processed batches,Weekly no-load test and battery check,8,3,3,72,Langkah 1: Try a manual start and check the fuel level. | Langkah 2: Test the battery and starter motor. | Langkah 3: Inspect the auto transfer switch. | Langkah 4: Perform a load test after repair.,Mesin/Asset ID: AST-GENSET-01 (FMEA Kode: FMEA-PWR-001). Mode Kegagalan (Failure Mode): Generator fails to start on outage. Dampak Potensial: Production loss and half-processed batches. Tindakan Pencegahan (Prevention): Weekly no-load test and battery check. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Try a manual start and check the fuel level. | Langkah 2: Test the battery and starter motor. | Langkah 3: Inspect the auto transfer switch. | Langkah 4: Perform a load test after repair.
FMEA-PLT-001,AST-PALLETIZER-01,WAREHOUSE,Unstable pallet pattern,Pallet collapse during storage or transport,Pattern verification and stretch wrap tension check,8,3,3,72,Langkah 1: Stop the palletizer and remove unstable pallets. | Langkah 2: Verify the stacking pattern against the recipe. | Langkah 3: Adjust the gripper alignment and layer sheet placement. | Langkah 4: Check wrap tension and re-wrap affected pallets.,Mesin/Asset ID: AST-PALLETIZER-01 (FMEA Kode: FMEA-PLT-001). Mode Kegagalan (Failure Mode): Unstable pallet pattern. Dampak Potensial: Pallet collapse during storage or transport. Tindakan Pencegahan (Prevention): Pattern verification and stretch wrap tension check. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the palletizer and remove unstable pallets. | Langkah 2: Verify the stacking pattern against the recipe. | Langkah 3: Adjust the gripper alignment and layer sheet placement. | Langkah 4: Check wrap tension and re-wrap affected pallets.
FMEA-CAP-002,AST-CAPPER-01,PACKAGING,Incorrect cap torque,Leaking bottles or caps that cannot be opened,Torque tester check every 2 hours and clutch inspection,8,3,3,72,Langkah 1: Isolate bottles capped since the last passing torque check. | Langkah 2: Measure torque on 5 bottles with the torque tester. | Langkah 3: Adjust or replace the capping clutch head. | Langkah 4: Re-verify torque on 10 bottles and release the line.,Mesin/Asset ID: AST-CAPPER-01 (FMEA Kode: FMEA-CAP-002). Mode Kegagalan (Failure Mode): Incorrect cap torque. Dampak Potensial: Leaking bottles or caps that cannot be opened. Tindakan Pencegahan (Prevention): Torque tester check every 2 hours and clutch inspection. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Isolate bottles capped since the last passing torque check. | Langkah 2: Measure torque on 5 bottles with the torque tester. | Langkah 3: Adjust or replace the capping clutch head. | Langkah 4: Re-verify torque on 10 bottles and release the line.
FMEA-CIP-001,AST-CIP-01,PRODUCTION,Caustic concentration out of range,Ineffective cleaning and cross-contamination,Conductivity sensor check and titration each shift,9,3,3,81,Langkah 1: Stop the CIP cycle and label the line as not cleaned. | Langkah 2: Titrate the caustic solution to confirm concentration. | Langkah 3: Recalibrate the conductivity sensor. | Langkah 4: Repeat the CIP cycle and confirm with an ATP swab.,Mesin/Asset ID: AST-CIP-01 (FMEA Kode: FMEA-CIP-001). Mode Kegagalan (Failure Mode): Caustic concentration out of range. Dampak Potensial: Ineffective cleaning and cross-contamination. Tindakan Pencegahan (Prevention): Conductivity sensor check and titration each shift. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the CIP cycle and label the line as not cleaned. | Langkah 2: Titrate the caustic solution to confirm concentration. | Langkah 3: Recalibrate the conductivity sensor. | Langkah 4: Repeat the CIP cycle and confirm with an ATP swab.
FMEA-CAP-001,AST-CAPPER-01,PACKAGING,Cap misaligned or jammed,Bottling line stops automatically,Lubricate cap feeder and inspect orienter,7,3,4,84,Langkah 1: Stop the capper and clear jammed caps from the chute. | Langkah 2: Inspect the orienter and feeder track for wear or debris. | Langkah 3: Lubricate the feeder mechanism per the maintenance manual. | Langkah 4: Run 20 caps through and verify alignment before restart.,Mesin/Asset ID: AST-CAPPER-01 (FMEA Kode: FMEA-CAP-001). Mode Kegagalan (Failure Mode): Cap misaligned or jammed. Dampak Potensial: Bottling line stops automatically. Tindakan Pencegahan (Prevention): Lubricate cap feeder and inspect orienter. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the capper and clear jammed caps from the chute. | Langkah 2: Inspect the orienter and feeder track for wear or debris. | Langkah 3: Lubricate the feeder mechanism per the maintenance manual. | Langkah 4: Run 20 caps through and verify alignment before restart.
FMEA-CSE-002,AST-CASEPACK-01,PACKAGING,Wrong pack count in case,Customer complaints and shortage claims,Count sensor check and end-of-line audit,7,3,4,84,Langkah 1: Hold the affected pallets and mark cases for rework. | Langkah 2: Check the count sensors and clean their lenses. | Langkah 3: Adjust the pick-and-place timing. | Langkah 4: Audit 20 cases for pack count before release.,Mesin/Asset ID: AST-CASEPACK-01 (FMEA Kode: FMEA-CSE-002). Mode Kegagalan (Failure Mode): Wrong pack count in case. Dampak Potensial: Customer complaints and shortage claims. Tindakan Pencegahan (Prevention): Count sensor check and end-of-line audit. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Hold the affected pallets and mark cases for rework. | Langkah 2: Check the count sensors and clean their lenses. | Langkah 3: Adjust the pick-and-place timing. | Langkah 4: Audit 20 cases for pack count before release.
FMEA-MIX-001,AST-MIXER-01,PRODUCTION,Agitator seal failure,Lubricant contamination of batch and leakage,Seal inspection during preventive maintenance every 3 months,9,3,4,108,Langkah 1: Stop the mixer and isolate the batch pending QA review. | Langkah 2: Drain the tank and lock out the agitator drive. | Langkah 3: Replace the mechanical seal and inspect the shaft. | Langkah 4: Perform a leak test and clean the tank before restart.,Mesin/Asset ID: AST-MIXER-01 (FMEA Kode: FMEA-MIX-001). Mode Kegagalan (Failure Mode): Agitator seal failure. Dampak Potensial: Lubricant contamination of batch and leakage. Tindakan Pencegahan (Prevention): Seal inspection during preventive maintenance every 3 months. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop the mixer and isolate the batch pending QA review. | Langkah 2: Drain the tank and lock out the agitator drive. | Langkah 3: Replace the mechanical seal and inspect the shaft. | Langkah 4: Perform a leak test and clean the tank before restart.
FMEA-SHR-001,AST-SHRINK-01,PACKAGING,Shrink tunnel temperature unstable,Loose or burnt film on packs,Thermocouple verification and heater inspection monthly,4,4,3,48,Langkah 1: Stop feeding packs and let the tunnel stabilize. | Langkah 2: Verify the thermocouple reading with a reference probe. | Langkah 3: Inspect heater elements and the airflow fan. | Langkah 4: Run test packs and inspect film tightness.,Mesin/Asset ID: AST-SHRINK-01 (FMEA Kode: FMEA-SHR-001). Mode Kegagalan (Failure Mode): Shrink tunnel temperature unstable. Dampak Potensial: Loose or burnt film on packs. Tindakan Pencegahan (Prevention): Thermocouple verification and heater inspection monthly. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Stop feeding packs and let the tunnel stabilize. | Langkah 2: Verify the thermocouple reading with a reference probe. | Langkah 3: Inspect heater elements and the airflow fan. | Langkah 4: Run test packs and inspect film tightness.
FMEA-CMP-001,AST-COMPRESSOR-01,UTILITIES,Compressed air pressure drop,Pneumatic equipment failure on production lines,Filter change and pressure monitoring alarms,7,4,2,56,Langkah 1: Alert production and stop pneumatic-dependent machines if needed. | Langkah 2: Check the compressor for leaks and clogged filters. | Langkah 3: Drain moisture traps and inspect the dryer. | Langkah 4: Restore pressure and confirm stable line operation.,Mesin/Asset ID: AST-COMPRESSOR-01 (FMEA Kode: FMEA-CMP-001). Mode Kegagalan (Failure Mode): Compressed air pressure drop. Dampak Potensial: Pneumatic equipment failure on production lines. Tindakan Pencegahan (Prevention): Filter change and pressure monitoring alarms. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Alert production and stop pneumatic-dependent machines if needed. | Langkah 2: Check the compressor for leaks and clogged filters. | Langkah 3: Drain moisture traps and inspect the dryer. | Langkah 4: Restore pressure and confirm stable line operation.
FMEA-CLT-001,AST-COOLTOWER-01,UTILITIES,Cooling water temperature too high,Inadequate cooling and process temperature deviations,Fan and fill inspection monthly and water treatment dosing,5,4,3,60,Langkah 1: Check the cooling tower fan operation. | Langkah 2: Inspect the fill media and clean scaling. | Langkah 3: Verify chemical treatment dosing. | Langkah 4: Monitor the water temperature until it returns to range.,Mesin/Asset ID: AST-COOLTOWER-01 (FMEA Kode: FMEA-CLT-001). Mode Kegagalan (Failure Mode): Cooling water temperature too high. Dampak Potensial: Inadequate cooling and process temperature deviations. Tindakan Pencegahan (Prevention): Fan and fill inspection monthly and water treatment dosing. Prosedur Langkah Perbaikan Lengkap: Langkah 1: Check the cooling tower fan operation. | Langkah 2: Inspect the fill media and clean scaling. | Langkah 3: Verify chemical treatment dosing. | Langkah 4: Monitor the water temperature until it returns to range.
